SalesOrderNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount,ProductMetadata
SO1029,2024-08-30,Tara Carter,robinsonstephanie@example.com,Widget C,20,54.07,4.33,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1030,2024-09-28,Gina Gallagher,ymelton@example.com,Widget B,2,66.62,5.33,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1031,2024-10-21,Shawn Stone,alexandrawright@example.org,Widget A,0,76.33,6.11,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1032,2025-01-23,Michael Sutton,lperez@example.com,Gadget X,0,18.33,1.47,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1033,2024-09-09,Stacey Owens,jfrye@example.com,Gadget X,3,61.89,4.95,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1034,2024-11-16,Cynthia Obrien,qmiller@example.org,Gadget X,1,11.24,0.9,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1035,2024-11-03,Brian Howell,richard00@example.com,Gadget Y,10,83.79,6.7,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1036,2024-08-06,Michelle Bailey,morrisedward@example.net,Gadget Y,3,76.61,6.13,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1037,2024-10-22,Jessica Boyer,amypaul@example.net,Widget A,20,21.01,1.68,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1038,2024-12-19,Danielle Hoffman,qwright@example.net,Gadget X,5,16.08,1.29,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1039,2024-06-03,Darrell Fuller,carolynhayden@example.com,Widget C,20,80.97,6.48,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1040,2025-01-15,Leslie Winters,donaldparker@example.org,Widget B,10,18.78,1.5,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1041,2024-10-22,Tyler Jones,shines@example.com,Widget A,5,52.32,4.19,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1042,2025-03-27,Lee Hunter,zgarcia@example.com,Gadget Y,1,74.69,5.98,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1043,2025-02-02,Dylan Figueroa,wareaaron@example.com,Gadget X,,29.05,2.32,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1044,2024-05-25,Steven Wong,robinanderson@example.org,Gadget X,2,83.73,6.7,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1045,2024-10-27,Alicia Sloan,briannabaker@example.org,Widget C,,99.53,7.96,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1046,2025-04-04,Martin Bryant,davidcruz@example.net,Widget B,5,56.82,4.55,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1047,2024-06-12,Xavier Boone,,Widget A,0,25.12,2.01,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1048,2024-09-27,Elizabeth Holder,victoriarobertson@example.net,Gadget X,2,81.18,6.49,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1049,2024-12-15,Craig Mcclain,nicholasdavid@example.org,Widget C,10,67.42,5.39,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1050,2024-07-07,Lisa Davis,woodsbruce@example.org,Gadget Y,1,87.28,6.98,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1051,2024-08-09,James Alexander,lauren47@example.org,Widget B,1,86.98,6.96,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1052,2025-02-28,Amy Fletcher,anna00@example.org,Gadget X,0,98.47,7.88,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1053,2024-07-25,Tiffany Patterson,courtneycarr@example.net,Gadget X,1,63.78,5.1,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1054,2025-01-28,Taylor Higgins,bryantrichard@example.org,Widget C,10,78.06,6.24,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1055,2024-06-27,Kyle Jackson,jpowers@example.com,Widget A,20,21.05,1.68,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1056,2024-07-09,Jonathan Fry,zerickson@example.net,Widget B,5,62.31,4.98,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1057,2024-12-31,Tonya Gonzales,mestrada@example.com,Gadget Y,5,78.26,6.26,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1058,2024-11-22,Brianna Nelson,wardantonio@example.com,Widget B,0,19.25,1.54,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1059,2024-05-30,Barbara Jackson,karengonzalez@example.org,Gadget X,,30.6,2.45,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1060,2025-03-02,Emily Fisher,fcobb@example.org,Gadget X,5,99.64,7.97,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1061,2024-08-10,Leon Doyle,dennis21@example.org,Widget C,0,11.37,0.91,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1062,2024-07-07,Katherine Hughes,sparkskrystal@example.net,Widget C,10,87.58,7.01,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1063,2025-02-06,Joshua Mendez,janemorgan@example.org,Gadget X,3,50.89,4.07,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1064,2025-02-27,Lee Hunter,farleydonna@example.org,Gadget Y,10,31.7,2.54,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1065,2024-12-04,Tony Nelson,jerrybuchanan@example.com,Widget B,20,45.2,3.62,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1066,2024-07-25,Jennifer Brown,bryan13@example.org,Gadget Y,2,83.71,6.7,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1067,2025-03-29,Michael Crawford,williamscharles@example.net,Widget A,,78.89,6.31,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1068,2024-10-14,Angie Rush MD,shannon31@example.com,Gadget X,3,88.53,7.08,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1069,2025-03-15,Amanda Davis,jamesstephens@example.org,Gadget Y,5,91.66,7.33,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1070,2025-01-11,Cynthia Obrien,frankgarcia@example.org,Gadget X,2,92.24,7.38,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1071,2024-07-31,Dawn Brewer,cartercharlotte@example.net,Widget B,0,47.52,3.8,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1072,2025-03-16,Teresa Brown,andrewhenry@example.com,Gadget X,0,32.38,2.59,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1073,2025-04-24,Lucas Fritz,,Widget C,20,91.48,7.32,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1074,2024-09-21,Richard Moreno,robertomorales@example.com,Widget C,3,24.82,1.99,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1075,2024-12-28,Virginia Huang PhD,brittanykennedy@example.org,Gadget X,2,35.86,2.87,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1076,2024-12-03,Raymond Flores,proctormelissa@example.org,Gadget X,20,75.39,6.03,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1077,2025-03-22,John Pollard,janet70@example.com,Widget A,3,68.68,5.49,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1078,2025-03-10,James Clarke,,Widget C,5,56.99,4.56,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1079,2025-05-15,Kevin Jenkins,erinknight@example.net,Widget B,2,60.56,4.84,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1080,2024-10-09,Rebekah Miller,reeveshannah@example.com,Widget C,3,45.07,3.61,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1081,2024-10-28,Justin Kelly,fdiaz@example.net,Gadget Y,1,42.12,3.37,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1082,2024-09-29,Tammy Kelley,melanie59@example.org,Gadget Y,20,84.37,6.75,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1083,2024-09-06,Nicholas Garrett,brightronnie@example.com,Widget C,3,52.76,4.22,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1084,2024-08-14,Anthony Preston,alanramsey@example.org,Widget C,2,29.05,2.32,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1085,2024-11-05,Kevin Williams,pcrawford@example.net,Widget A,0,76.38,6.11,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1086,2024-08-27,Kimberly Gonzalez,,Gadget X,2,77.58,6.21,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1087,2024-05-19,Tanner Cruz,,Widget C,5,12.74,1.02,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1088,2024-07-09,Michael Drake,hthompson@example.org,Widget A,5,90.31,7.22,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1089,2024-06-28,Barbara Jackson,,Gadget Y,2,89.1,7.13,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1090,2024-07-18,Richard Williams,gschmidt@example.org,Widget A,20,75.99,6.08,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1091,2024-09-17,Ronald Olsen,jordanrichard@example.com,Widget C,2,53.19,4.26,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1092,2024-12-11,Anna Hess,,Widget A,10,76.11,6.09,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1093,2024-07-06,Angela Black,goodwinmichelle@example.com,Widget B,5,17.84,1.43,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1094,2025-03-24,Raymond Mason,csmith@example.com,Widget A,0,78.8,6.3,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1095,2024-12-10,Melvin Romero,stevenhaney@example.net,Widget A,20,45.94,3.68,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1096,2025-05-14,Evan Phillips,kendra07@example.com,Widget B,0,69.8,5.58,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1097,2025-02-26,Angie Rush MD,alvin10@example.com,Widget C,3,31.37,2.51,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1098,2025-04-27,Julie Wong,jeremy98@example.org,Gadget Y,20,26.9,2.15,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1099,2025-03-13,Kristen Ford,trevor95@example.org,Gadget X,10,62.59,5.01,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1100,2024-12-17,Aaron Coleman,tjackson@example.com,Widget C,1,57.17,4.57,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1101,2024-09-21,Joy Roberts,,Widget B,10,68.37,5.47,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1102,2025-03-31,Susan Hall,ashleyyoung@example.net,Gadget X,1,34.01,2.72,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1103,2024-06-04,Hannah Hardy,jose60@example.com,Widget A,5,52.08,4.17,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1104,2025-04-22,Pamela Davidson,gonzalescharles@example.com,Widget A,1,42.43,3.39,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1105,2025-02-12,Eduardo Lloyd,kcoleman@example.net,Gadget Y,5,29.19,2.34,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1106,2025-01-31,David Williams,qchristensen@example.com,Gadget X,5,99.32,,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1107,2025-04-05,Brianna Nelson,debra62@example.com,Widget B,3,65.14,5.21,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1108,2025-05-15,Joseph Suarez,marybaker@example.net,Gadget X,20,51.5,4.12,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1109,2024-10-18,Sarah Garrison,marcbrown@example.net,Widget A,0,34.58,,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1110,2025-01-27,Sarah Oliver,richardmullins@example.net,Gadget X,20,85.31,6.82,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1111,2024-11-09,Karina Lane,matthew44@example.com,Widget C,20,75.76,6.06,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1112,2024-06-20,Sharon Lang,qkennedy@example.com,Gadget X,0,19.68,1.57,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1113,2025-05-16,Miss Stephanie Robbins MD,vdixon@example.org,Widget A,0,12.87,1.03,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1114,2024-07-23,Steven Wong,uhuang@example.net,Gadget X,20,80.12,,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1115,2025-01-24,Mr. Michael Washington,taylor62@example.com,Widget A,10,29.28,2.34,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1116,2024-06-07,Jennifer Brown,lmiller@example.com,Widget B,10,87.4,6.99,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1117,2024-11-12,Karen Wallace,,Gadget X,2,52.37,4.19,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1118,2025-01-30,Julie Wong,howellalex@example.net,Widget B,3,82.83,6.63,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1119,2024-07-24,George Morris,vangbeverly@example.com,Widget B,3,51.42,4.11,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1120,2025-04-25,Ricardo George,ashley77@example.net,Widget B,0,17.57,1.41,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1121,2025-05-10,James Alexander,,Widget C,0,59.3,4.74,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1122,2024-07-04,Eric Smith,ubruce@example.com,Widget A,2,57.21,4.58,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1123,2025-03-22,Julie Spears,kevin86@example.org,Widget C,3,87.11,6.97,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1124,2025-03-12,David Owen,egreen@example.net,Widget B,,60.45,4.84,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1125,2025-05-11,David Phillips DVM,tyler22@example.org,Widget A,1,79.69,,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1126,2025-04-06,Timothy Ochoa,lindseyshelly@example.net,Gadget Y,10,69.45,5.56,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1127,2024-09-11,Kathryn Wagner,stanleyelizabeth@example.com,Widget B,3,93.15,7.45,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1128,2025-04-16,Barbara Li,mcneilbrett@example.net,Gadget Y,1,71.76,5.74,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1129,2025-04-09,Mr. Austin Ochoa MD,aortiz@example.com,Gadget X,3,85.57,6.85,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1130,2024-07-29,Carolyn Rodriguez,hudsonkelsey@example.net,Widget C,20,67.17,5.37,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1131,2025-01-17,Susan Wilson,herrerarobert@example.org,Gadget X,3,33.75,2.7,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1132,2024-12-06,Michelle Soto,jennifer27@example.net,Gadget X,3,14.36,1.15,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1133,2024-10-06,Michelle Soto,andrea18@example.com,Widget B,3,80.78,6.46,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1134,2025-03-24,Ronald Wagner,campbelldan@example.com,Widget C,0,29.14,2.33,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1135,2024-09-29,Diane Diaz,butlercharles@example.com,Widget B,,32.72,2.62,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1136,2024-09-14,Charles Ball,uburke@example.com,Gadget Y,5,98.35,7.87,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1137,2024-10-20,Steven Morrison,reginamitchell@example.com,Widget B,20,71.49,5.72,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1138,2024-08-02,Melvin Romero,xgonzalez@example.com,Gadget Y,1,34.07,2.73,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1139,2025-01-11,Renee Hunter,ronald83@example.org,Widget C,1,24.28,1.94,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1140,2025-03-27,Melissa Davis,anthony53@example.org,Widget C,20,29.53,2.36,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1141,2025-02-05,Kathleen Duke,johnnymcdaniel@example.org,Widget A,2,17.68,1.41,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1142,2024-08-24,Beverly Wood,stephenevans@example.org,Gadget X,0,63.82,5.11,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1143,2024-10-09,Stephen Kane,anelson@example.com,Gadget Y,,32.43,2.59,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1144,2024-12-21,Ronald Wagner,,Widget B,20,51.69,4.14,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1145,2024-10-26,Tammy Carroll,ldrake@example.org,Widget C,2,50.69,4.06,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1146,2024-11-16,Stacy Curry,xmiller@example.net,Widget B,5,62.63,5.01,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1147,2024-10-28,Robert Stewart,catherinesoto@example.net,Widget B,2,39.96,3.2,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1148,2024-07-19,Samantha Blair,morganmartin@example.net,Widget B,5,70.46,5.64,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1149,2025-04-28,Terry Young,penny14@example.net,Gadget Y,2,26.91,2.15,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1150,2025-02-19,Amy Fletcher,chris66@example.com,Gadget X,2,33.0,2.64,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1151,2024-11-03,Melvin Romero,,Gadget Y,5,28.72,2.3,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1152,2024-05-25,Lindsay Anderson,roneill@example.org,Widget B,2,16.5,1.32,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1153,2024-11-17,Tammy Stewart,vramirez@example.com,Widget C,20,26.72,2.14,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1154,2025-02-15,Jacob Powers,,Widget C,20,70.35,5.63,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1155,2024-12-11,Ashley Ellis,bartonbeth@example.org,Widget B,,94.17,7.53,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1156,2024-11-05,Kathryn Wagner,justinwilkins@example.org,Widget B,20,75.27,6.02,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1157,2024-06-21,Jason Martinez,benjaminjoseph@example.net,Widget B,1,61.06,4.88,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1158,2024-12-19,Susan Wilson,debra10@example.org,Gadget Y,5,34.74,2.78,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1159,2025-01-25,Jeffrey Martin,,Widget A,0,80.25,6.42,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1160,2025-03-05,Joshua Mendez,carl62@example.net,Gadget X,20,47.42,3.79,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1161,2025-02-25,Michael Hunter,,Gadget X,10,45.19,3.62,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1162,2025-05-13,Kimberly Dalton,scottwhite@example.org,Widget B,2,93.57,7.49,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1163,2024-06-08,Eduardo Lloyd,qkim@example.com,Widget A,1,47.9,3.83,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1164,2024-09-11,Darrell Morgan,johnjones@example.com,Widget C,0,24.87,1.99,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1165,2024-09-07,Theresa Padilla,amandahall@example.org,Gadget X,10,51.34,4.11,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1166,2025-03-02,Jordan Elliott,kristina43@example.net,Widget B,20,43.31,3.46,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1167,2024-05-28,Tiffany Chavez,aconley@example.org,Gadget X,2,64.38,5.15,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1168,2024-12-15,Alexis Glass,crawfordsara@example.org,Gadget X,2,57.6,4.61,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1169,2024-05-19,Stacey Owens,michael96@example.org,Gadget X,,68.41,5.47,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1170,2024-09-29,Phillip Clark,jacob11@example.com,Widget C,10,15.97,1.28,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1171,2024-05-23,Travis Hebert,,Widget A,10,91.47,7.32,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1172,2024-11-07,Amy Davis,rward@example.org,Widget A,1,71.99,5.76,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1173,2025-01-21,Michael Crawford,thomasbrandon@example.com,Widget A,5,42.9,3.43,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1174,2024-06-30,Marcus Tran,carolyn00@example.org,Widget C,1,61.93,4.95,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1175,2025-03-19,Jennifer Brown,jacobschneider@example.net,Widget C,3,33.03,2.64,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1176,2024-12-18,Raymond Mason,,Gadget X,2,13.63,1.09,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1177,2025-05-17,Bill Marshall,,Gadget X,1,79.43,6.35,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1178,2024-08-16,Susan Quinn,kristenpatel@example.com,Gadget Y,0,56.96,4.56,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1179,2025-03-31,Julia Hood,matthew45@example.org,Gadget X,0,40.17,3.21,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1180,2025-01-21,Daniel Jones,mossjacqueline@example.com,Widget C,1,37.95,3.04,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1181,2024-11-15,Jessica Callahan,collinstami@example.org,Widget A,1,82.73,6.62,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1182,2024-09-13,Diamond Cox,,Widget A,2,66.92,5.35,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1183,2024-12-16,Anthony Howell,jordanandrea@example.org,Widget A,,59.26,4.74,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1184,2025-03-29,Curtis White,cole97@example.com,Gadget X,3,27.16,2.17,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1185,2025-05-03,Bill Marshall,malonejohn@example.net,Widget C,20,49.08,3.93,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1186,2024-09-13,Benjamin Robles,fowlerrobin@example.net,Widget B,2,30.89,2.47,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1187,2025-05-08,Justin Mejia MD,bnichols@example.com,Widget B,5,59.57,4.77,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1188,2025-05-08,Renee Hunter,michellepetersen@example.com,Widget C,2,76.79,6.14,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1189,2025-02-20,Kimberly French,henry63@example.com,Gadget Y,0,69.48,5.56,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1190,2025-03-13,Sharon Lang,tammie13@example.com,Widget A,5,79.61,6.37,"{""color"": ""green"", ""warranty"": ""1 year""}"
